#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-24T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614e0aad5022e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/468/663&tab:{J/A+A/468/663/table3}&key:source=J/A+A/468/663/table3&HTTPPRM:&
#-source=J/A+A/468/663/table3
#-order=I
#-out=Star
#-out=Line
#-out=Elem
#-out=lambda
#-out=EP(low)
#-out=loggf
#-out=EW
#-out=A(Fe)
#

#RESOURCE=yCat_34680663
#Name: J/A+A/468/663
#Title: Li abundances in solar-analog stars (Takeda+, 2007)
#Table	J_A_A_468_663_table3:
#Name: J/A+A/468/663/table3
#Title: EWs of Fe I/Fe II lines and resulting Fe abundances
#Column	Star	(A10)	Star name (Sun/Moon or HIP NNNNNN)	[ucd=meta.id;meta.main]
#Column	Line	(I4)	Line No. (cf. Takeda et al. 2005, Cat. <J/PASJ/57/27>)	[ucd=meta.id;spect.line]
#Column	Elem	(F5.2)	26.00 for Fe I, 26.01 for Fe II	[ucd=meta.note]
#Column	lambda	(F8.3)	Line wavelength	[ucd=em.wl;spect.line]
#Column	EP(low)	(F6.3)	Excitation potential of the lower level	[ucd=phys.atmol.excitation;phys.atmol.level]
#Column	loggf	(F6.3)	log(gf) value	[ucd=stat.value;arith.zp]
#Column	EW	(F5.1)	? Fe line equivalent width	[ucd=spect.line.eqWidth]
#Column	A(Fe)	(F5.2)	? Line-by-line Fe abundance	[ucd=phys.abund.Fe]
Star|Line|Elem|lambda|EP(low)|loggf|EW|A(Fe)
HIP  41184| 132|26.00|6297.792| 2.223|-2.740| 99.9| 7.69
HIP  41184| 133|26.00|6311.500| 2.832|-3.141|     |
HIP  41184| 134|26.00|6322.690| 2.588|-2.326| 98.2| 7.63
HIP  41184| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  41184| 136|26.00|6481.869| 2.279|-2.933|     |
HIP  41184| 137|26.00|6498.937| 0.958|-4.632| 51.0| 7.44
HIP  41184| 138|26.00|6518.365| 2.830|-2.564|     |
HIP  41184| 139|26.00|6574.225| 0.990|-4.980| 42.7| 7.68
HIP  41184| 140|26.00|6581.207| 1.480|-4.751|     |
HIP  41184| 141|26.00|6593.871| 2.433|-2.359|107.1| 7.62
HIP  41184| 142|26.00|6609.110| 2.559|-2.616| 87.6| 7.67
HIP  41184| 143|26.00|6625.021| 1.010|-5.307| 23.7| 7.65
HIP  41184| 144|26.00|6667.725| 4.580|-2.125|     |
HIP  41184| 145|26.00|6699.162| 4.590|-2.081|     |
HIP  41184| 146|26.00|6739.520| 1.557|-4.790| 17.3| 7.52
HIP  41184| 147|26.00|6750.150| 2.424|-2.570| 93.9| 7.59
HIP  41184| 148|26.00|6752.705| 4.640|-1.186| 46.4| 7.60
HIP  41184| 149|26.00|6793.252| 4.080|-2.366|     |
HIP  41184| 150|26.00|6804.001| 4.650|-1.522|     |
HIP  41184| 151|26.00|6804.275| 4.580|-1.776|     |
HIP  41184|1063|26.00|5522.447| 4.209|-1.373|     |
HIP  41184|1064|26.00|5546.500| 4.371|-1.018| 59.2| 7.48
HIP  41184|1065|26.00|5549.948| 3.695|-2.762|     |
HIP  41184|1066|26.00|5552.691| 4.956|-1.704|  9.0| 7.52
HIP  41184|1067|26.00|5559.638| 4.988|-1.614|     |
HIP  41184|1068|26.00|5568.072| 4.154|-2.889|     |
HIP  41184|1069|26.00|5568.867| 3.635|-2.817| 18.9| 7.74
HIP  41184|1070|26.00|5577.031| 5.033|-1.446| 12.2| 7.48
HIP  41184|1071|26.00|5587.573| 4.143|-1.593|     |
HIP  41184|1072|26.00|5595.075| 5.064|-1.633|     |
HIP  41184|1073|26.00|5608.974| 4.209|-2.287| 15.7| 7.66
HIP  41184|1074|26.00|5618.631| 4.209|-1.233| 57.4| 7.49
HIP  41184|1075|26.00|5619.587| 4.386|-1.409| 36.1| 7.45
HIP  41184|1076|26.00|5636.696| 3.640|-2.495| 21.1| 7.48
HIP  41184|1077|26.00|5638.262| 4.220|-0.663| 95.0| 7.57
HIP  41184|1078|26.00|5650.020| 5.099|-0.749|     |
HIP  41184|1079|26.00|5650.704| 5.085|-0.672| 53.9| 7.70
HIP  41184|1080|26.00|5651.470| 4.473|-1.747|     |
HIP  41184|1081|26.00|5652.320| 4.260|-1.731| 44.8| 7.81
HIP  41184|1082|26.00|5653.889| 4.386|-1.334| 43.9| 7.51
HIP  41184|1083|26.00|5672.267| 4.584|-2.836|     |
HIP  41184|1084|26.00|5679.025| 4.652|-0.626| 73.6| 7.59
HIP  41184|1085|26.00|5680.241| 4.186|-2.306|     |
HIP  41184|1086|26.00|5731.762| 4.256|-1.050|     |
HIP  41184|1087|26.00|5732.275| 4.991|-1.400|     |
HIP  41184|1088|26.00|5752.023| 4.548|-0.846| 72.3| 7.68
HIP  41184|1089|26.00|5753.121| 4.260|-0.594|103.2| 7.69
HIP  41184|1090|26.00|5760.345| 3.642|-2.438| 30.8| 7.64
HIP  41184|1091|26.00|5775.080| 4.220|-1.059| 78.4| 7.67
HIP  41184|1092|26.00|5793.913| 4.220|-1.578| 45.2| 7.61
HIP  41184|1093|26.00|5814.805| 4.283|-1.797| 31.8| 7.64
HIP  41184|1094|26.00|5827.875| 3.283|-3.165| 15.5| 7.62
HIP  41184|1095|26.00|5835.098| 4.256|-2.113|     |
HIP  41184|1096|26.00|5837.700| 4.294|-2.255| 17.1| 7.75
HIP  41184|1097|26.00|5845.266| 5.033|-1.673|  9.1| 7.55
HIP  41184|1098|26.00|5849.682| 3.695|-2.885|  9.9| 7.52
HIP  41184|1099|26.00|5852.217| 4.548|-1.127| 51.9| 7.61
HIP  41184|1100|26.00|5853.149| 1.485|-5.089| 14.9| 7.73
HIP  41184|1101|26.00|5856.083| 4.294|-1.513| 41.6| 7.56
HIP  41184|1102|26.00|5858.779| 4.220|-2.156|     |
HIP  41184|1103|26.00|5859.578| 4.548|-0.489| 90.4| 7.58
HIP  41184|1104|26.00|5861.107| 4.283|-2.327| 13.1| 7.67
HIP  41184|1105|26.00|5880.029| 4.558|-1.877|     |
HIP  41184|1106|26.00|5881.279| 4.607|-1.741|     |
HIP  41184|1107|26.00|5902.485| 4.593|-1.783|     |
HIP  41184|1108|26.00|5905.689| 4.652|-0.650| 74.2| 7.63
HIP  41184|1109|26.00|5916.249| 2.453|-2.882|     |
HIP  41184|1110|26.00|5927.786| 4.652|-0.987|     |
HIP  41184|1111|26.00|5929.667| 4.548|-1.140|     |
HIP  41184|1112|26.00|5934.653| 3.929|-1.015| 91.9| 7.56
HIP  41184|1113|26.00|5969.559| 4.283|-2.732|     |
HIP  41184|1114|26.00|5976.157| 4.294|-3.155|     |
HIP  41184|1115|26.00|5984.814| 4.733|-0.129|106.0| 7.66
HIP  41184|1116|26.00|5987.066| 4.795|-0.307| 87.5| 7.62
HIP  41184|1117|26.00|6003.010| 3.882|-0.903|106.5| 7.64
HIP  41184|1118|26.00|6027.050| 4.076|-1.065| 77.0| 7.53
HIP  41184|1119|26.00|6034.033| 4.312|-2.335| 15.9| 7.80
HIP  41184|1120|26.00|6093.666| 4.607|-1.297| 38.1| 7.57
HIP  41184|1121|26.00|6094.364| 4.652|-1.557| 26.4| 7.63
HIP  41184|1122|26.00|6096.662| 3.984|-1.758| 43.4| 7.51
HIP  41184|1123|26.00|6105.152| 4.548|-1.916| 15.3| 7.58
HIP  41184|1124|26.00|6127.909| 4.143|-1.352| 62.6| 7.61
HIP  41184|1125|26.00|6165.361| 4.143|-1.434| 53.3| 7.53
HIP  41184|1126|26.00|6187.398| 2.832|-4.094|     |
HIP  41184|1127|26.00|6187.987| 3.943|-1.587|     |
HIP  41184|1128|26.00|6199.507| 2.559|-4.283|     |
HIP  41184|1129|26.00|6213.429| 2.223|-2.562|107.3| 7.65
HIP  41184|1130|26.00|6220.776| 3.882|-2.322|     |
HIP  41184|1131|26.00|6221.670| 0.859|-6.441|     |
HIP  41184|1132|26.00|6226.730| 3.883|-2.055| 32.1| 7.49
HIP  41184|1133|26.00|6229.225| 2.845|-2.877| 51.1| 7.63
HIP  41184|1134|26.00|6302.494| 3.686|-1.163| 96.8| 7.50
HIP  41184|1135|26.00|6330.838| 4.733|-1.152| 46.3| 7.66
HIP  41184|1136|26.00|6335.328| 2.198|-2.349|115.1| 7.51
HIP  41184|1137|26.00|6367.111| 4.795|-2.373|     |
HIP  41184|1138|26.00|6392.538| 2.279|-3.939| 24.5| 7.61
HIP  41184|1139|26.00|6436.411| 4.186|-2.337| 16.5| 7.68
HIP  41184|1140|26.00|6472.150| 4.371|-3.140|     |
HIP  41184|1141|26.00|6494.980| 2.404|-1.301|     |
HIP  41184|1142|26.00|6496.469| 4.795|-0.483|     |
HIP  41184|1143|26.00|6591.325| 4.593|-1.957| 14.7| 7.63
HIP  41184|1144|26.00|6608.024| 2.279|-3.952| 22.5| 7.56
HIP  41184|1145|26.00|6627.540| 4.548|-1.452| 38.6| 7.64
HIP  41184|1146|26.00|6646.932| 2.608|-3.931| 18.7| 7.77
HIP  41184|1147|26.00|6667.417| 2.453|-4.315|     |
HIP  41184|1148|26.00|6676.863| 4.558|-2.699|     |
HIP  41184|1149|26.00|6703.568| 2.759|-3.008| 47.2| 7.57
HIP  41184|1150|26.00|6710.316| 1.485|-4.813| 21.2| 7.58
HIP  41184|1151|26.00|6712.441| 4.988|-2.071|     |
HIP  41184|1152|26.00|6725.353| 4.103|-2.178| 29.4| 7.75
HIP  41184|1153|26.00|6726.661| 4.607|-1.003| 59.4| 7.60
HIP  41184|1154|26.00|6732.070| 4.584|-2.111| 12.1| 7.66
HIP  41184|1155|26.00|6733.151| 4.638|-1.403| 33.7| 7.58
HIP  41184|1156|26.00|6745.090| 4.580|-2.065|  8.9| 7.46
HIP  41184|1157|26.00|6745.955| 4.076|-2.632|     |
HIP  41184|1158|26.00|6746.953| 2.608|-4.337|     |
HIP  41184|1159|26.00|6783.264| 2.559|-4.550|     |
HIP  41184|1162|26.00|6806.847| 2.727|-3.098|     |
HIP  41184|1163|26.00|6810.257| 4.607|-0.927|     |
HIP  41184|1164|26.00|6824.825| 4.988|-2.125|     |
HIP  41184| 207|26.01|5525.125| 3.267|-4.007|     |
HIP  41184| 208|26.01|6432.680| 2.891|-3.579| 48.8| 7.61
HIP  41184| 209|26.01|6516.080| 2.891|-3.302|     |
HIP  41184|2005|26.01|5991.376| 3.153|-3.540| 33.5| 7.53
HIP  41184|2006|26.01|6084.111| 3.199|-3.791| 22.7| 7.57
HIP  41184|2007|26.01|6141.033| 3.230|-4.872|     |
HIP  41184|2008|26.01|6149.258| 3.889|-2.720| 43.3| 7.61
HIP  41184|2009|26.01|6239.953| 3.889|-3.423|     |
HIP  41184|2010|26.01|6247.557| 3.892|-2.336| 67.2| 7.69
HIP  41184|2011|26.01|6269.967| 3.245|-4.355|     |
HIP  41184|2012|26.01|6446.410| 6.222|-1.938|     |
HIP  41184|2013|26.01|6456.383| 3.903|-2.142| 74.6| 7.62
HIP  41484| 109|26.00|5600.226| 4.260|-1.429|     |
HIP  41484| 110|26.00|5661.348| 4.280|-1.790| 28.1| 7.53
HIP  41484| 111|26.00|5696.102| 4.550|-1.847| 21.4| 7.69
HIP  41484| 112|26.00|5701.545| 2.560|-2.087| 96.3| 7.39
HIP  41484| 113|26.00|5705.466| 4.300|-1.433| 47.8| 7.58
HIP  41484| 114|26.00|5778.455| 2.590|-3.468| 31.7| 7.60
HIP  41484| 115|26.00|5784.657| 3.340|-2.615|     |
HIP  41484| 116|26.00|5855.091| 4.607|-1.478| 29.5| 7.56
HIP  41484| 117|26.00|5909.970| 3.210|-2.579| 47.9| 7.63
HIP  41484| 118|26.00|5956.692| 0.859|-4.537|     |
HIP  41484| 119|26.00|6082.708| 2.223|-3.555| 50.9| 7.65
HIP  41484| 120|26.00|6120.244| 0.910|-5.906|  7.6| 7.55
HIP  41484| 121|26.00|6136.993| 2.198|-2.910|     |
HIP  41484| 122|26.00|6151.617| 2.176|-3.296| 55.8| 7.42
HIP  41484| 123|26.00|6173.341| 2.223|-2.888| 82.6| 7.52
HIP  41484| 124|26.00|6180.203| 2.730|-2.615| 72.1| 7.59
HIP  41484| 125|26.00|6200.314| 2.609|-2.360| 89.8| 7.53
HIP  41484| 126|26.00|6219.279| 2.198|-2.458|116.1| 7.65
HIP  41484| 127|26.00|6232.639| 3.650|-1.197|102.1| 7.59
HIP  41484| 128|26.00|6240.645| 2.220|-3.269| 66.0| 7.61
HIP  41484| 129|26.00|6265.131| 2.176|-2.578|109.6| 7.62
HIP  41484| 130|26.00|6271.276| 3.330|-2.751| 28.3| 7.52
HIP  41484| 131|26.00|6280.616| 0.859|-4.363|     |
HIP  41484| 132|26.00|6297.792| 2.223|-2.740|     |
HIP  41484| 133|26.00|6311.500| 2.832|-3.141|     |
HIP  41484| 134|26.00|6322.690| 2.588|-2.326| 96.0| 7.57
HIP  41484| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  41484| 136|26.00|6481.869| 2.279|-2.933| 92.6| 7.77
HIP  41484| 137|26.00|6498.937| 0.958|-4.632| 52.3| 7.41
HIP  41484| 138|26.00|6518.365| 2.830|-2.564|     |
HIP  41484| 139|26.00|6574.225| 0.990|-4.980| 36.8| 7.53
HIP  41484| 140|26.00|6581.207| 1.480|-4.751|     |
HIP  41484| 141|26.00|6593.871| 2.433|-2.359|104.4| 7.56
HIP  41484| 142|26.00|6609.110| 2.559|-2.616| 93.1| 7.75
HIP  41484| 143|26.00|6625.021| 1.010|-5.307| 25.4| 7.64
HIP  41484| 144|26.00|6667.725| 4.580|-2.125|     |
HIP  41484| 145|26.00|6699.162| 4.590|-2.081|     |
HIP  41484| 146|26.00|6739.520| 1.557|-4.790| 20.2| 7.55
HIP  41484| 147|26.00|6750.150| 2.424|-2.570| 90.1| 7.50
HIP  41484| 148|26.00|6752.705| 4.640|-1.186| 47.4| 7.60
HIP  41484| 149|26.00|6793.252| 4.080|-2.366|     |
HIP  41484| 150|26.00|6804.001| 4.650|-1.522|     |
HIP  41484| 151|26.00|6804.275| 4.580|-1.776|     |
HIP  41484|1063|26.00|5522.447| 4.209|-1.373|     |
HIP  41484|1064|26.00|5546.500| 4.371|-1.018| 57.0| 7.42
HIP  41484|1065|26.00|5549.948| 3.695|-2.762|     |
HIP  41484|1066|26.00|5552.691| 4.956|-1.704|     |
HIP  41484|1067|26.00|5559.638| 4.988|-1.614|     |
HIP  41484|1068|26.00|5568.072| 4.154|-2.889|     |
HIP  41484|1069|26.00|5568.867| 3.635|-2.817| 15.8| 7.60
HIP  41484|1070|26.00|5577.031| 5.033|-1.446| 14.2| 7.53
HIP  41484|1071|26.00|5587.573| 4.143|-1.593|     |
HIP  41484|1072|26.00|5595.075| 5.064|-1.633|     |
HIP  41484|1073|26.00|5608.974| 4.209|-2.287| 13.1| 7.54
HIP  41484|1074|26.00|5618.631| 4.209|-1.233| 60.6| 7.53
HIP  41484|1075|26.00|5619.587| 4.386|-1.409| 38.7| 7.47
HIP  41484|1076|26.00|5636.696| 3.640|-2.495|     |
HIP  41484|1077|26.00|5638.262| 4.220|-0.663| 93.3| 7.55
HIP  41484|1078|26.00|5650.020| 5.099|-0.749|     |
HIP  41484|1079|26.00|5650.704| 5.085|-0.672| 48.2| 7.59
HIP  41484|1080|26.00|5651.470| 4.473|-1.747| 27.5| 7.66
HIP  41484|1081|26.00|5652.320| 4.260|-1.731| 32.6| 7.55
HIP  41484|1082|26.00|5653.889| 4.386|-1.334| 42.8| 7.47
HIP  41484|1083|26.00|5672.267| 4.584|-2.836|     |
HIP  41484|1084|26.00|5679.025| 4.652|-0.626| 71.3| 7.55
HIP  41484|1085|26.00|5680.241| 4.186|-2.306| 16.0| 7.64
HIP  41484|1086|26.00|5731.762| 4.256|-1.050| 58.9| 7.35
HIP  41484|1087|26.00|5732.275| 4.991|-1.400| 14.7| 7.46
HIP  41484|1088|26.00|5752.023| 4.548|-0.846| 70.2| 7.64
HIP  41484|1089|26.00|5753.121| 4.260|-0.594| 96.9| 7.59
HIP  41484|1090|26.00|5760.345| 3.642|-2.438| 28.8| 7.56
HIP  41484|1091|26.00|5775.080| 4.220|-1.059| 70.9| 7.53
HIP  41484|1092|26.00|5793.913| 4.220|-1.578| 42.4| 7.54
HIP  41484|1093|26.00|5814.805| 4.283|-1.797| 31.5| 7.61
HIP  41484|1094|26.00|5827.875| 3.283|-3.165| 12.3| 7.46
HIP  41484|1095|26.00|5835.098| 4.256|-2.113|     |
HIP  41484|1096|26.00|5837.700| 4.294|-2.255|     |
HIP  41484|1097|26.00|5845.266| 5.033|-1.673|     |
HIP  41484|1098|26.00|5849.682| 3.695|-2.885|     |
HIP  41484|1099|26.00|5852.217| 4.548|-1.127| 48.9| 7.53
HIP  41484|1100|26.00|5853.149| 1.485|-5.089| 12.9| 7.60
HIP  41484|1101|26.00|5856.083| 4.294|-1.513| 42.1| 7.55
HIP  41484|1102|26.00|5858.779| 4.220|-2.156| 12.0| 7.36
HIP  41484|1103|26.00|5859.578| 4.548|-0.489| 91.3| 7.61
HIP  41484|1104|26.00|5861.107| 4.283|-2.327| 13.1| 7.64
HIP  41484|1105|26.00|5880.029| 4.558|-1.877|     |
HIP  41484|1106|26.00|5881.279| 4.607|-1.741|     |
HIP  41484|1107|26.00|5902.485| 4.593|-1.783|     |
HIP  41484|1108|26.00|5905.689| 4.652|-0.650|     |
HIP  41484|1109|26.00|5916.249| 2.453|-2.882|     |
HIP  41484|1110|26.00|5927.786| 4.652|-0.987|     |
HIP  41484|1111|26.00|5929.667| 4.548|-1.140| 41.6| 7.41
HIP  41484|1112|26.00|5934.653| 3.929|-1.015| 80.1| 7.35
HIP  41484|1113|26.00|5969.559| 4.283|-2.732|     |
HIP  41484|1114|26.00|5976.157| 4.294|-3.155|     |
HIP  41484|1115|26.00|5984.814| 4.733|-0.129| 98.2| 7.55
HIP  41484|1116|26.00|5987.066| 4.795|-0.307| 85.2| 7.58
HIP  41484|1117|26.00|6003.010| 3.882|-0.903| 99.0| 7.52
HIP  41484|1118|26.00|6027.050| 4.076|-1.065| 77.7| 7.53
HIP  41484|1119|26.00|6034.033| 4.312|-2.335| 11.7| 7.61
HIP  41484|1120|26.00|6093.666| 4.607|-1.297| 41.0| 7.60
HIP  41484|1121|26.00|6094.364| 4.652|-1.557| 31.2| 7.71
HIP  41484|1122|26.00|6096.662| 3.984|-1.758| 44.8| 7.51
HIP  41484|1123|26.00|6105.152| 4.548|-1.916| 14.4| 7.52
HIP  41484|1124|26.00|6127.909| 4.143|-1.352| 60.6| 7.56
HIP  41484|1125|26.00|6165.361| 4.143|-1.434| 53.0| 7.50
HIP  41484|1126|26.00|6187.398| 2.832|-4.094|     |
HIP  41484|1127|26.00|6187.987| 3.943|-1.587| 57.2| 7.51
HIP  41484|1128|26.00|6199.507| 2.559|-4.283|     |
HIP  41484|1129|26.00|6213.429| 2.223|-2.562|106.0| 7.61
HIP  41484|1130|26.00|6220.776| 3.882|-2.322|     |
HIP  41484|1131|26.00|6221.670| 0.859|-6.441|     |
HIP  41484|1132|26.00|6226.730| 3.883|-2.055| 34.5| 7.51
HIP  41484|1133|26.00|6229.225| 2.845|-2.877| 47.9| 7.54
HIP  41484|1134|26.00|6302.494| 3.686|-1.163|100.6| 7.56
HIP  41484|1135|26.00|6330.838| 4.733|-1.152| 47.8| 7.67
HIP  41484|1136|26.00|6335.328| 2.198|-2.349|     |
HIP  41484|1137|26.00|6367.111| 4.795|-2.373|     |
HIP  41484|1138|26.00|6392.538| 2.279|-3.939|     |
HIP  41484|1139|26.00|6436.411| 4.186|-2.337| 13.8| 7.55
HIP  41484|1140|26.00|6472.150| 4.371|-3.140|     |
HIP  41484|1141|26.00|6494.980| 2.404|-1.301|     |
HIP  41484|1142|26.00|6496.469| 4.795|-0.483|     |
HIP  41484|1143|26.00|6591.325| 4.593|-1.957| 13.9| 7.57
HIP  41484|1144|26.00|6608.024| 2.279|-3.952| 23.6| 7.54
HIP  41484|1145|26.00|6627.540| 4.548|-1.452| 31.5| 7.48
HIP  41484|1146|26.00|6646.932| 2.608|-3.931| 19.3| 7.74
HIP  41484|1147|26.00|6667.417| 2.453|-4.315|     |
HIP  41484|1148|26.00|6676.863| 4.558|-2.699|     |
HIP  41484|1149|26.00|6703.568| 2.759|-3.008| 45.1| 7.50
HIP  41484|1150|26.00|6710.316| 1.485|-4.813| 19.8| 7.49
HIP  41484|1151|26.00|6712.441| 4.988|-2.071|     |
HIP  41484|1152|26.00|6725.353| 4.103|-2.178| 22.0| 7.55
HIP  41484|1153|26.00|6726.661| 4.607|-1.003| 64.9| 7.68
HIP  41484|1154|26.00|6732.070| 4.584|-2.111| 13.3| 7.68
HIP  41484|1155|26.00|6733.151| 4.638|-1.403| 38.7| 7.66
HIP  41484|1156|26.00|6745.090| 4.580|-2.065| 14.7| 7.68
HIP  41484|1157|26.00|6745.955| 4.076|-2.632|     |
HIP  41484|1158|26.00|6746.953| 2.608|-4.337|  7.3| 7.66
HIP  41484|1159|26.00|6783.264| 2.559|-4.550|     |
HIP  41484|1162|26.00|6806.847| 2.727|-3.098|     |
HIP  41484|1163|26.00|6810.257| 4.607|-0.927|     |
HIP  41484|1164|26.00|6824.825| 4.988|-2.125|     |
HIP  41484| 207|26.01|5525.125| 3.267|-4.007|     |
HIP  41484| 208|26.01|6432.680| 2.891|-3.579| 48.0| 7.52
HIP  41484| 209|26.01|6516.080| 2.891|-3.302|     |
HIP  41484|2005|26.01|5991.376| 3.153|-3.540| 32.2| 7.43
HIP  41484|2006|26.01|6084.111| 3.199|-3.791| 26.5| 7.59
HIP  41484|2007|26.01|6141.033| 3.230|-4.872|     |
HIP  41484|2008|26.01|6149.258| 3.889|-2.720| 46.5| 7.62
HIP  41484|2009|26.01|6239.953| 3.889|-3.423|     |
HIP  41484|2010|26.01|6247.557| 3.892|-2.336| 70.6| 7.70
HIP  41484|2011|26.01|6269.967| 3.245|-4.355|     |
HIP  41484|2012|26.01|6446.410| 6.222|-1.938|     |
HIP  41484|2013|26.01|6456.383| 3.903|-2.142| 70.7| 7.51
HIP  41526| 109|26.00|5600.226| 4.260|-1.429| 37.9| 7.50
HIP  41526| 110|26.00|5661.348| 4.280|-1.790| 21.4| 7.47
HIP  41526| 111|26.00|5696.102| 4.550|-1.847| 12.5| 7.49
HIP  41526| 112|26.00|5701.545| 2.560|-2.087| 82.8| 7.50
HIP  41526| 113|26.00|5705.466| 4.300|-1.433| 38.2| 7.54
HIP  41526| 114|26.00|5778.455| 2.590|-3.468| 20.5| 7.48
HIP  41526| 115|26.00|5784.657| 3.340|-2.615| 25.6| 7.50
HIP  41526| 116|26.00|5855.091| 4.607|-1.478| 24.2| 7.54
HIP  41526| 117|26.00|5909.970| 3.210|-2.579| 29.9| 7.43
HIP  41526| 118|26.00|5956.692| 0.859|-4.537| 51.7| 7.52
HIP  41526| 119|26.00|6082.708| 2.223|-3.555| 31.4| 7.47
HIP  41526| 120|26.00|6120.244| 0.910|-5.906|  5.7| 7.58
HIP  41526| 121|26.00|6136.993| 2.198|-2.910| 59.6| 7.39
HIP  41526| 122|26.00|6151.617| 2.176|-3.296| 46.1| 7.47
HIP  41526| 123|26.00|6173.341| 2.223|-2.888| 63.4| 7.47
HIP  41526| 124|26.00|6180.203| 2.730|-2.615| 52.0| 7.46
HIP  41526| 125|26.00|6200.314| 2.609|-2.360| 71.0| 7.51
HIP  41526| 126|26.00|6219.279| 2.198|-2.458| 85.4| 7.49
HIP  41526| 127|26.00|6232.639| 3.650|-1.197| 79.3| 7.49
HIP  41526| 128|26.00|6240.645| 2.220|-3.269| 45.9| 7.48
HIP  41526| 129|26.00|6265.131| 2.176|-2.578| 80.2| 7.46
HIP  41526| 130|26.00|6271.276| 3.330|-2.751| 19.9| 7.44
HIP  41526| 131|26.00|6280.616| 0.859|-4.363| 63.6| 7.57
HIP  41526| 132|26.00|6297.792| 2.223|-2.740| 74.4| 7.55
HIP  41526| 133|26.00|6311.500| 2.832|-3.141| 25.4| 7.49
HIP  41526| 134|26.00|6322.690| 2.588|-2.326| 75.8| 7.54
HIP  41526| 135|26.00|6353.835| 0.915|-6.477|     |
HIP  41526| 136|26.00|6481.869| 2.279|-2.933| 56.7| 7.40
HIP  41526| 137|26.00|6498.937| 0.958|-4.632| 43.7| 7.51
HIP  41526| 138|26.00|6518.365| 2.830|-2.564|     |
HIP  41526| 139|26.00|6574.225| 0.990|-4.980| 24.3| 7.46
HIP  41526| 140|26.00|6581.207| 1.480|-4.751|     |
HIP  41526| 141|26.00|6593.871| 2.433|-2.359| 82.0| 7.52
HIP  41526| 142|26.00|6609.110| 2.559|-2.616| 61.9| 7.47
HIP  41526| 143|26.00|6625.021| 1.010|-5.307| 14.0| 7.49
HIP  41526| 144|26.00|6667.725| 4.580|-2.125|  9.8| 7.62
HIP  41526| 145|26.00|6699.162| 4.590|-2.081|  7.8| 7.48
HIP  41526| 146|26.00|6739.520| 1.557|-4.790|     |
HIP  41526| 147|26.00|6750.150| 2.424|-2.570| 71.1| 7.48
HIP  41526| 148|26.00|6752.705| 4.640|-1.186| 32.2| 7.43
HIP  41526| 149|26.00|6793.252| 4.080|-2.366|     |
HIP  41526| 150|26.00|6804.001| 4.650|-1.522|     |
HIP  41526| 151|26.00|6804.275| 4.580|-1.776|     |
HIP  41526|1063|26.00|5522.447| 4.209|-1.373|     |
HIP  41526|1064|26.00|5546.500| 4.371|-1.018| 49.1| 7.46
HIP  41526|1065|26.00|5549.948| 3.695|-2.762| 11.3| 7.54
HIP  41526|1066|26.00|5552.691| 4.956|-1.704|  8.0| 7.50
HIP  41526|1067|26.00|5559.638| 4.988|-1.614|  7.7| 7.43
HIP  41526|1068|26.00|5568.072| 4.154|-2.889|     |
HIP  41526|1069|26.00|5568.867| 3.635|-2.817|  8.6| 7.40
HIP  41526|1070|26.00|5577.031| 5.033|-1.446| 12.2| 7.53
HIP  41526|1071|26.00|5587.573| 4.143|-1.593| 30.2| 7.37
HIP  41526|1072|26.00|5595.075| 5.064|-1.633|     |
HIP  41526|1073|26.00|5608.974| 4.209|-2.287|  8.1| 7.39
HIP  41526|1074|26.00|5618.631| 4.209|-1.233| 48.3| 7.49
HIP  41526|1075|26.00|5619.587| 4.386|-1.409| 31.0| 7.44
HIP  41526|1076|26.00|5636.696| 3.640|-2.495| 19.9| 7.52
HIP  41526|1077|26.00|5638.262| 4.220|-0.663| 74.1| 7.47
HIP  41526|1078|26.00|5650.020| 5.099|-0.749| 33.9| 7.48
HIP  41526|1079|26.00|5650.704| 5.085|-0.672| 37.9| 7.52
HIP  41526|1080|26.00|5651.470| 4.473|-1.747| 18.9| 7.54
HIP  41526|1081|26.00|5652.320| 4.260|-1.731| 25.3| 7.50
HIP  41526|1082|26.00|5653.889| 4.386|-1.334| 37.0| 7.49
HIP  41526|1083|26.00|5672.267| 4.584|-2.836|     |
HIP  41526|1084|26.00|5679.025| 4.652|-0.626| 56.1| 7.47
HIP  41526|1085|26.00|5680.241| 4.186|-2.306|  8.9| 7.43
HIP  41526|1086|26.00|5731.762| 4.256|-1.050| 52.5| 7.42
HIP  41526|1087|26.00|5732.275| 4.991|-1.400| 12.7| 7.46
HIP  41526|1088|26.00|5752.023| 4.548|-0.846| 51.5| 7.48
HIP  41526|1089|26.00|5753.121| 4.260|-0.594| 75.5| 7.48
HIP  41526|1090|26.00|5760.345| 3.642|-2.438| 21.3| 7.50
